ID,Player1,Player2,Difficulty,Score,Duration,StartTime,EndTime,GameResult,ScreenshotPath
1,sdf,ddd,EASY,1,00:00:04,10/01/2026 20:59:48,10/01/2026 20:59:53,Quit,C:\Users\tomab\git\Mine-sweeper-Haina-\screenshots\game_20260110_205953.png
2,cx,zz,EASY,3,00:00:04,10/01/2026 21:06:11,10/01/2026 21:06:16,Quit,C:\Users\tomab\git\Mine-sweeper-Haina-\screenshots\game_20260110_210616.png
3,fdf,dss,EASY,35,00:00:46,10/01/2026 21:11:14,10/01/2026 21:12:01,Defeat,C:\Users\tomab\git\Mine-sweeper-Haina-\screenshots\game_20260110_211201.png
4,e,d,EASY,26,00:00:44,11/01/2026 01:07:20,11/01/2026 01:08:04,Defeat,C:\Users\tomab\git\Mine-sweeper-Haina-\screenshots\game_20260111_010804.png
5,ee,v fcv,EASY,4,00:00:04,11/01/2026 14:08:19,11/01/2026 14:08:23,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_140823.png
6,ss,sss,HARD,5,00:00:13,11/01/2026 14:13:09,11/01/2026 14:13:22,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_141322.png
7,aa,ew,EASY,2,00:00:06,11/01/2026 15:42:03,11/01/2026 15:42:09,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_154209.png
8,aa,ee,MEDIUM,10,00:01:58,11/01/2026 15:42:17,11/01/2026 15:44:15,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_154415.png
9,ee,ww,MEDIUM,2,00:00:08,11/01/2026 15:44:27,11/01/2026 15:44:36,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_154436.png
10,aadsd,dsf,EASY,3,00:00:07,11/01/2026 15:44:42,11/01/2026 15:44:50,Quit,C:\Users\user\Documents\GitHub\Mine-sweeper-Haina-\screenshots\game_20260111_154450.png
