"ID","Question","Difficulty","A","B","C","D","Correct Answer"
"1","Which of the following tools is commonly used for version control ?","2","Docker","Eclipse","Git","Maven","C"
"2","Which file format is used for structured text data ?","1","JPG","CSV","ZIP","EXE","B"
"3","Which Java keyword creates an object ?","1","new","make","alloc","load","A"
"4","What does MVC stand for in software design ?","1","Main-View-Control","Model-View-Controller","Module-Variant-Client","Model-Viewer-Compiler","B"
"5","In SRS, which requirement affects performance?","4","Operational","Optinal","Functional","non-functional","D"
"6","Which SDP plan handles versioning of documents?","4","Control","Risks","Budget","Metrics","A"
"7","Which software development model follows a sequential approach?","2","Agile","Scrum","Waterfall","Spiral","C"
"8","What does QA stand for ?","1","Quality Assignment","Quality Assurance","Quick Automation","Query Assessment","B"
"9","Which of these is a design pattern?","3","Singleton","Observer","Factory","All of the above","D"
"10","Which methodology is flexible and iterative?","2","Agile","Waterfall","V-model","Spiral","A"
"11","Which SDP plan specifies how quality will be ensured?","3","Design","QA","History","Metrics","B"
"12","Which diagram shows class relations","1","Activity","Sequence","Class","State","C"
"13","Which role manages product value in Scrum?","2","Tester","Master","Owner","Developer","C"
"14","Which of the following is not one of the OOP princioals ?","2","Inheritance","Polymorphism","Encapsulation","Compilation","D"
"15","Which of these is an example of a programming language?","1","JAVA","HTML","CSS","UML","A"
"16","What is the primary purpose of software engineering?","2","To develop hardware","To design and build software in an efficient way","To make a visually appealing system","To test network security","B"
"17","Which SRS characteristic requires requirements to be unambiguous?","4","Size","Scope","Clarity","Value","C"
"18","what is the primary goal of unit testing ?","3","To test the entire system end-to-end","To measure system performance under heavy load","To evaluate how different modules interact together","To verify that individual components or functions work correctly in isolation","D"
"19","Which non-functional requirement describes how fast the system should respond?","3","Usablity","Performance","Reliability","Security","B"
"20","Which software engineering concept ensures that each module has a single, well-defined responsibility?","4","Cohesion","Coupling","Encapsulation","Composition",""
